Entity,Country Code,Year,Homiciderate

Albania,ALB,1990,4.136646
Albania,ALB,1991,3.135623
Albania,ALB,1992,3.9349356
Albania,ALB,1993,5.786633
Albania,ALB,1994,3.400123
Albania,ALB,1995,7.8858495
Albania,ALB,1996,8.314658
Albania,ALB,1997,40.999237
Albania,ALB,1998,20.419683
Albania,ALB,1999,16.582197
Albania,ALB,2000,4.116881
Albania,ALB,2001,6.9761276
Albania,ALB,2002,6.9152064
Albania,ALB,2003,5.3669734
Albania,ALB,2004,4.27738
Albania,ALB,2005,5.078094
Albania,ALB,2006,3.1630955
Albania,ALB,2007,3.5281267
Albania,ALB,2008,3.1507385
Albania,ALB,2009,2.900488
Albania,ALB,2010,4.0845757
Albania,ALB,2011,4.8954477
Albania,ALB,2012,5.4284067
Albania,ALB,2013,4.2950954
Albania,ALB,2014,4.64616
Albania,ALB,2015,2.22031
Albania,ALB,2016,2.7420435
Albania,ALB,2017,2.01434
Albania,ALB,2018,2.294046
Albania,ALB,2019,2.2617478
Albania,ALB,2020,2.127772
Albania,ALB,2021,2.3119686










Australia,AUS,1990,2.1938055
Australia,AUS,1991,1.9686081
Australia,AUS,1992,1.7236933
Australia,AUS,1993,1.888664
Australia,AUS,1994,1.7971971
Australia,AUS,1995,1.9774483
Australia,AUS,1996,1.9437898
Australia,AUS,1997,1.9771594
Australia,AUS,1998,1.795538
Australia,AUS,1999,2.0477753
Australia,AUS,2000,1.9034636
Australia,AUS,2001,1.8027713
Australia,AUS,2002,1.879251
Australia,AUS,2003,1.5330728
Australia,AUS,2004,1.319946
Australia,AUS,2005,1.2839751
Australia,AUS,2006,1.3729398
Australia,AUS,2007,1.2241472
Australia,AUS,2008,1.2283583
Australia,AUS,2009,1.2141697
Australia,AUS,2010,1.049086
Australia,AUS,2011,1.1092706
Australia,AUS,2012,1.0691061
Australia,AUS,2013,1.0600654
Australia,AUS,2014,1.0353829
Australia,AUS,2015,0.99075425
Australia,AUS,2016,0.9381832
Australia,AUS,2017,0.84586084
Australia,AUS,2018,0.88473505
Australia,AUS,2019,0.887323
Australia,AUS,2020,0.86092544
